target_id	length	eff_length	est_counts	tpm
rutG|G6517|b1006|pyrimidine:H<sup>+</sup>	1329	1049.06	284	13.148
ycfJ|EG12444|b1110|PF05433	540	262.136	311	57.6201
coaD|EG11190|b3634|pantetheine-phosphate	480	205.282	200	47.3171
yfdK|G7223|b2354|CPS-53	441	170.217	0	0
fruB|G7990|b2169|FruB	1131	851.057	601	34.2969
envR|EG11741|b3264|DNA-binding	663	383.487	154	19.5034
murE|EG10621|b0085|UDP-<i>N</i>-acetylmuramoyl-L-alanyl-D-glutamate&mdash;2,6-diaminopimelate	1488	1208.06	2982	119.884
entF|EG10264|b0586|seryl-[EntF	3882	3602.06	1972	26.5886
yhjY|EG12269|b3548|putative	699	419.368	305	35.3219
dnaB|EG10236|b4052|replicative	1416	1136.06	1000	42.7503
kbaZ|G7631|b3132|putative	1281	1001.06	435	21.1043
ybhS|G6410|b0793|ABC	1134	854.057	248	14.1028
yhjG|EG12251|b3524|AsmA	2061	1781.06	913	24.8962
coaE|EG12312|b0103|dephospho-CoA	621	341.88	248	35.2304
ydfW|G6834|b1567|Qin	150	14.3654	0	0
ydjI|G6960|b1773|L-<i>glycero</i>-L-galacto-octuluronate-1-phosphate	837	557.116	190	16.5633
kdpE|EG10517|b0694|KdpE-Phosphorylated	678	398.448	96	11.7014
ldtB|G6422|b0819|L,D-transpeptidase	921	641.057	2533	191.901
panB|EG11675|b0134|3-methyl-2-oxobutanoate	795	515.224	316	29.7873
yehI|EG11995|b2118|DUF4132	3633	3353.06	818	11.8482
polA|EG10746|b3863|DNA	2787	2507.06	2161	41.863
paaZ|G6708|b1387|fused	2046	1766.06	0	0
fsr|G6256|b0479|fosmidomycin	1221	941.057	455	23.482
yiiF|EG11855|b3890|protein	219	27.0651	0	0
panF|EG10685|b3258|pantothenate:Na<sup>+</sup>	1452	1172.06	711	29.4619
ydfK|G6818|b1544|Qin	234	31.3647	1059	1639.81
xylF|EG20252|b3566|xylose	993	713.057	376	25.6096
slyA|G6882|b1642|DNA-binding	435	164.809	1450	427.294
mrdA|EG10606|b0635|peptidoglycan	1902	1622.06	1516	45.3913
folC|EG10327|b2315|bifunctional	1269	989.057	1434	70.4154
yicN|EG11690|b3663|DUF1198	453	180.831	187	50.2237
hda|G7313|b2496|inibitor	702	422.368	868	99.8086
uxaA|EG12734|b3091|D-altronate	1488	1208.06	599	24.0812
cydH|G0-10594|b4602|cytochrome	90	91	64	34.1569
yjiH|G7927|b4330|uncharacterized	684	404.368	116	13.9322
folM|G6862|b1606|dihydromonapterin	723	443.368	411	45.0212
xisR|G6677|b1346|Rac	216	26.084	0	0
xylH|EG12276|b3568|xylose	1182	902.057	315	16.9596
gltF|EG11514|b3214|periplasmic	765	485.324	0	0
lpoA|G7642|b3147|outer	2037	1757.06	1759	48.6205
pabC|EG11493|b1096|aminodeoxychorismate	810	530.171	482	44.1541
mliC|EG11488|b1639|inhibitor	330	82.4119	282	166.188
dnaX|EG10245|b0470|DNA	1932	1652.06	2345	68.9378
alsE|EG11957|b4085|D-allulose-6-phosphate	696	416.368	148	17.2633
mlaE|EG12800|b3194|intermembrane	783	503.274	1515	146.2
dcrB|G7767|b3472|periplasmic	558	279.617	823	142.947
nudB|EG11138|b1865|dihydroneopterin	453	180.831	597	160.34
ymfE|G6583|b1138|e14	705	425.368	0	0
yieL|EG11729|b3719|putative	1170	890.057	463	25.264
ompR|EG10672|b3405|OmpR-Phosphorylated	720	440.368	532	58.6726
pbpG|EG12015|b2134|peptidoglycan	933	653.057	565	42.0181
folD|EG10328|b0529|bifunctional	867	587.057	683	56.5041
nfsA|EG11261|b0851|NADPH-dependent	723	443.368	254	27.8233
rep|EG10837|b3778|ATP-dependent	2022	1742.06	1000	27.879
focA|EG11258|b0904|formate	858	578.116	856	71.9115
lgoT|EG12587|b4356|galactonate:H+	1362	1082.06	0	0
yhcG|G7674|b3220|DUF1016	1128	848.057	0	0
folB|EG11673|b3058|dihydroneopterin	369	111.125	255	111.447
ybcN|G6303|b0547|DLP12	456	183.494	0	0
uhpA|EG11051|b3669|UhpA-Phosphorylated	591	312.173	199	30.9598
argP|EG10490|b2916|DNA-binding	894	614.057	658	52.0423
mepA|EG10580|b2328|peptidoglycan	825	545.171	560	49.8879
folK|EG11374|b0142|2-amino-4-hydroxy-6-hydroxymethyldihydropteridine	480	205.282	140	33.122
ygeA|EG11157|b2840|amino	693	413.368	402	47.2312
dnaN|EG10242|b3701|&beta;	1101	821.057	1082	64.002
ptsH|EG10788|b2415|phosphocarrier	258	41.5708	2040	2383.31
mdtK|EG12400|b1663|multidrug	1374	1094.06	768	34.0927
yghS|G7551|b2985|putative	714	434.368	148	16.5479
pabA|EG10682|b3360|aminodeoxychorismate	564	285.532	192	32.6577
insH1|G6134|b0259|CP4-6	981	701.057	0	0
manX|EG10567|b1817|mannose-specific	972	692.057	828	58.1069
arsR|EG12235|b3501|DNA-binding	354	99.7905	0	0
ftsI|EG10341|b0084|peptidoglycan	1767	1487.06	1878.61	61.3549
folA|EG10326|b0048|dihydrofolate	480	205.282	468	110.722
ytjB|EG10951|b4387|probable	645	365.634	235	31.2148
holD|EG11414|b4372|DNA	414	146.037	156	51.8801
kgtP|EG10522|b2587|&alpha;-ketoglutarate:H<sup>+</sup>	1299	1019.06	2117	100.893
arsB|EG12236|b3502|arsenite/antimonite:H<sup>+</sup>	1290	1010.06	0	0
ygcR|G7436|b2770|putative	780	500.274	205	19.9015
folP|EG50011|b3177|dihydropteroate	849	569.116	418	35.671
rzoR|G0-10449|b4528|Rac	186	20.2412	3.27849	7.86641
glgP|EG10380|b3428|glycogen	2448	2168.06	2692	60.3037
marA|EG11434|b1531|DNA-binding	384	122.814	99	39.1495
mepS|G7147|b2175|peptidoglycan	567	288.475	4737	797.509
folE|EG11375|b2153|GTP	669	389.448	3194	398.313
ypfH|G7296|b2473|esterase	699	419.368	410	47.4819
priC|EG10765|b0467|primosomal	528	250.675	110	21.3119
eda|EG10256|b1850|KHG/KDPG	642	362.634	424	56.7854
punC|EG12141|b1660|purine	1212	932.057	461	24.0214
pdeN|G7148|b2176|putative	1557	1277.06	1019	38.7528
pabB|EG10683|b1812|aminodeoxychorismate	1362	1082.06	470	21.0954
ypjK|G7370|b2635|CP4-57	237	32.4807	0	0
ascB|EG10085|b2716|6-phospho-&beta;-glucosidase	1425	1145.06	0	0
soxR|EG10957|b4063|DNA-binding	465	191.626	179	45.3667
dacC|EG10203|b0839|D-alanyl-D-alanine	1203	923.057	939	49.4056
hemC|EG10429|b3805|hydroxymethylbilane	942	662.057	934	68.5158
yeaX|G6989|b1803|carnitine	966	686.057	0	0
ybhP|G6407|b0790|endonuclease/exonuclease/phosphatase	762	482.324	234	23.5623
nanM|G7920|b4310|<i>N</i>-acetylneuraminate	1107	827.057	321	18.8499
nikC|EG12077|b3478|Ni(2+)	834	554.116	151	13.2348
ydhL|G6888|b1648|DUF1289	240	33.7222	51	73.4503
gltX|EG10407|b2400|glutamate&mdash;tRNA	1416	1136.06	2054	87.8092
yffO|G7276|b2446|CPZ-55	417	148.725	0	0
glcA|G7542|b2975|glycolate/lactate:H<sup>+</sup>	1683	1403.06	1067	36.9342
allR|G6276|b0506|DNA-binding	816	536.171	943.954	85.5042
ldtE|G6904|b1678|L,D-transpeptidase	1005	725.057	477	31.9511
hemN|EG11836|b3867|coproporphyrinogen	1374	1094.06	914	40.5738
ydcL|G6742|b1431|DUF3313	669	389.448	659	82.1818
mrr|EG10612|b4351|Type	915	635.057	0	0
sad|G6811|b1525|succinate	1389	1109.06	424	18.5674
ccmB|EG12058|b2200|cytochrome	663	383.487	146	18.4902
yceM|G6560|b1068|putative	924	644.057	371	27.9762
hemG|EG11485|b3850|protoporphyrinogen	546	268.003	366	66.3256
yfdG|G7219|b2350|CPS-53	363	106.836	0	0
dcuC|G6347|b0621|anaerobic	1386	1106.06	323	14.1829
zntR|EG11969|b3292|DNA-binding	426	156.681	203	62.9242
murA|EG11358|b3189|UDP-<i>N</i>-acetylglucosamine	1260	980.057	1889	93.6095
hemD|EG10430|b3804|uroporphyrinogen-III	741	461.324	617	64.956
dgcI|G6434|b0834|putative	1329	1049.06	389	18.009
hsdS|EG10460|b4348|type	1395	1115.06	0	0
pta|EG20173|b2297|phosphate	2145	1865.06	2063	53.7213
yddA|EG11742|b1496|ABC	1686	1406.06	1799	62.1395
ybdF|G6324|b0579|PF04237	369	111.125	165	72.1126
hemA|EG10427|b1210|glutamyl-tRNA	1257	977.057	1536	76.3503
ydfU|G6831|b1560|Qin	1050	770.057	214	13.4968
gatY|EG12419|b2096|tagatose-1,6-bisphosphate	855	575.116	233	19.6762
betI|EG10111|b0313|DNA-binding	588	309.235	226	35.4944
mrcA|EG10748|b3396|peptidoglycan	2553	2273.06	4350	92.9434
hemF|EG12189|b2436|coproporphyrinogen	900	620.057	400	31.3305
ecpC|G6162|b0291|putative	2526	2246.06	685	14.8119
dcm|EG10211|b1961|DNA-cytosine	1419	1139.06	919	39.1841
kdgK|EG12253|b3526|2-dehydro-3-deoxygluconokinase	930	650.057	351	26.2238
proP|EG11612|b4111|osmolyte:H<sup>+</sup>	1503	1223.06	1784	70.8415
aceK-int|G0-17105|b4830|small	85	86	0	0
hemE|EG11543|b3997|uroporphyrinogen	1065	785.057	1011	62.5445
tfaR|G6696|b1373|Rac	576	297.387	161.166	26.3203
frwB|EG11909|b3950|putative	321	76.2386	67	42.6815
nanR|G7678|b3226|NanR	792	512.224	738	69.974
ampC|EG10040|b4150|&beta;-lactamase	1134	854.057	392	22.2915
hemH|EG10431|b0475|ferrochelatase	963	683.057	390	27.7298
ymgN|G0-17091|b4816|protein	60	61	0	0
ogt|EG10668|b1335|methylated-DNA&mdash;[protein]-cysteine	516	239.365	227	46.0579
dkgB|EG11648|b0207|methylglyoxal	804	524.224	273	25.2922
rhtB|EG11469|b3824|L-homoserine/L-homoserine	621	341.88	316	44.8903
rseD|G0-16690|b4725|<i>rpoE</i>	156	14.9867	265	858.777
hemB|EG10428|b0369|porphobilinogen	975	695.057	687	48.0038
tfaP|G6598|b1155|e14	414	146.037	0	0
zwf|EG11221|b1852|NADP<sup>+</sup>-dependent	1476	1196.06	1543	62.6547
xapR|EG11146|b2405|DNA-binding	885	605.057	337	27.0504
ldtC|G6571|b1113|L,D-transpeptidase	963	683.057	331	23.5348
cysG|EG10188|b3368|siroheme	1374	1094.06	750	33.2936
arrS|G0-10694|b4704|small	70	71	94	64.2997
hsdM|EG10458|b4349|type	1590	1310.06	0	0
srlD|EG10971|b2705|sorbitol-6-phosphate	780	500.274	158	15.3387
fxsA|G7832|b4140|protein	477	202.719	333	79.7791
ybfQ|G0-10440|b4514|inactive	255	40.5221	0	0
znuC|G7018|b1858|Zn<sup>2+</sup>	756	476.324	389	39.6631
tfaX|G6317|b0563|DLP12	186	20.2412	43	103.174
pfkB|EG10700|b1723|6-phosphofructokinase	930	650.057	356	26.5973
iscR|G7326|b2531|DNA-binding	489	213.538	1683	382.779
murI|EG11204|b3967|glutamate	858	578.116	647	54.3537
yicL|EG11688|b3660|putative	924	644.057	387	29.1827
yecE|EG12379|b1868|DUF72	819	539.171	209	18.8261
radA|EG11296|b4389|DNA	1383	1103.06	777	34.2108
malY|EG10564|b1622|negative	1173	893.057	408	22.1881
dgcC|EG11257|b0385|diguanylate	1116	836.057	231	13.4189
yhiI|EG12224|b3487|putative	1068	788.057	297	18.3037
hemL|EG10432|b0154|glutamate-1-semialdehyde	1281	1001.06	1212	58.8008
ybcK|G6300|b0544|DLP12	1527	1247.06	0	0
galS|EG10365|b2151|DNA-binding	1041	761.057	768	49.0099
nhaR|EG11078|b0020|DNA-binding	906	626.057	173	13.4206
rffM|EG11458|b3794|UDP-N-acetyl-D-mannosaminuronic	741	461.324	358	37.6892
birA|EG10123|b3973|DNA-binding	966	686.057	602	42.6163
yjcO|EG11951|b4078|Sel1	690	410.368	973	115.154
recQ|EG10833|b3822|ATP-dependent	1830	1550.06	996	31.2069
ebgA|EG10252|b3076|evolved	3093	2813.06	867	14.9686
yqiK|G7589|b3051|flotillin	1662	1382.06	587	20.6277
yihF|EG11832|b3861|DUF945	1431	1151.06	506	21.3498
bioD|EG10120|b0778|dethiobiotin	678	398.448	361	44.0023
intA|EG11783|b2622|CP4-57	1242	962.057	4	0.201929
araG|EG10058|b1900|arabinose	1515	1235.06	555	21.8246
fecI|EG10291|b4293|RNA	522	245.024	213	42.2193
rffH|EG11454|b3789|glucose-1-phosphate	882	602.057	527	42.5121
bioA|EG10117|b0774|adenosylmethionine-8-amino-7-oxononanoate	1290	1010.06	996	47.8909
ydeJ|EG11645|b1537|PF02464	519	242.171	0	0
recF|EG10828|b3700|recombination	1074	794.057	697	42.6305
hcaF|M015|b2539|putative	519	242.171	0	0
entS|EG11104|b0591|enterobactin	1251	971.057	898	44.9129
ytfP|G7876|b4222|&gamma;-glutamylamine	342	90.6953	524	280.599
bioF|EG10121|b0776|8-amino-7-oxononanoate	1155	875.057	1001	55.5568
tolB|EG11008|b0740|Tol-Pal	1293	1013.06	6586	315.738
idnD|G7893|b4267|L-idonate	1032	752.057	310	20.0194
kdgR|G7003|b1827|DNA-binding	792	512.224	610	57.8376
wecB|EG11451|b3786|UDP-<i>N</i>-acetylglucosamine	1131	851.057	1074	61.2894
bioB|EG10118|b0775|biotin	1041	761.057	1384	88.3199
yigG|EG11465|b3818|inner	381	120.479	0	0
recR|EG10834|b0472|recombination	606	326.948	396	58.8242
gudX|G7446|b2788|glucarate	1341	1061.06	345	15.7914
hcaT|G7330|b2536|putative	1140	860.057	601	33.938
yrfG|G7742|b3399|purine	669	389.448	460	57.3651
mioC|EG11199|b3742|flavoprotein	444	172.932	1759	494.003
intD|EG10507|b0537|DLP12	1164	884.057	148	8.13057
paaK|G6719|b1398|phenylacetate-CoA	1314	1034.06	0	0
nikR|EG11519|b3481|DNA-binding	402	136.017	129	46.0613
rfe|EG10840|b3784|UDP-<i>N</i>-acetylglucosamine&mdash;undecaprenyl-phosphate	1104	824.057	1452	85.5754
bioH|EG10122|b3412|pimeloyl-acyl	771	491.324	296	29.2593
yjjA|EG11214|b4360|DUF2501	495	219.079	325	72.0481
rarA|EG12690|b0892|replication-associated	1344	1064.06	1050	47.9252
glxR|G6278|b0509|tartronate	879	599.057	225	18.2412
tolA|EG11007|b0739|Tol-Pal	1266	986.057	2666	131.31
yhbP|G7648|b3154|putative	444	172.932	273	76.6702
bioC|EG10119|b0777|malonyl-acyl	756	476.324	651	66.3771
yjhQ|G7917|b4307|KpLE2	546	268.003	1	0.181218
dgoA|EG20049|b4477|2-dehydro-3-deoxy-6-phosphogalactonate	618	338.915	109	15.6198
phoP|EG10731|b1130|DNA-binding	672	392.448	853	105.562
wecE|EG11456|b3791|dTDP-4-dehydro-6-deoxy-D-glucose	1131	851.057	760	43.3705
bidA|G6851|b1593|dethiobiotin	696	416.368	211	24.6119
yebC|EG11137|b1864|putative	741	461.324	1603	168.759
xerD|EG11071|b2894|site-specific	897	617.057	575	45.2566
gatB|EG12415|b2093|galactitol-specific	285	53.7759	35	31.6097
arnF|G7171|b2258|undecaprenyl-phosphate-&alpha;-L-Ara4N	387	125.099	138	53.5754
yggU|G7529|b2953|DUF167	291	57.3405	141	119.426
ybjI|G6442|b0844|5-amino-6-(5-phospho-D-ribitylamino)uracil	816	536.171	284	25.725
yfjP|G7367|b2632|CP4-57	864	584.116	1	0.0831459
galP|EG12148|b2943|galactose:H<sup>+</sup>	1395	1115.06	609	26.5253
plaR|EG12278|b3574|DNA-binding	849	569.116	412	35.159
wecC|EG11452|b3787|UDP-<i>N</i>-acetyl-D-mannosamine	1263	983.057	1359	67.1398
ribE|EG11322|b0415|6,7-dimethyl-8-ribityllumazine	471	197.149	1264	311.382
rhsB|EG10847|b3482|rhs	4236	3956.06	2	0.0245531
ruvC|EG10925|b1863|crossover	522	245.024	228	45.1924
rhaB|EG11868|b3904|rhamnulokinase	1470	1190.06	351	14.3245
yeaV|G6987|b1801|putative	1446	1166.06	0	0
ygcN|G7432|b2766|putative	1272	992.057	400	19.5823
ribF|EG11079|b0025|bifunctional	942	662.057	1380	101.233
yffL|G7273|b2443|CPZ-55	642	362.634	0	0
csrA|EG11447|b2696|carbon	186	20.2412	1006	2413.8
marR|EG11435|b1530|DNA-binding	435	164.809	125	36.8357
wzyE|EG11457|b3793|enterobacterial	1353	1073.06	682	30.8675
ribA|EG11331|b1277|GTP	591	312.173	425	66.1201
yfeK|G7260|b2419|DUF5329	375	115.85	135	56.5951
recO|EG10832|b2565|recombination	729	449.324	427	46.1539
aes|EG11101|b0476|acetylesterase	960	680.057	227	16.2114
ydgC|G6863|b1607|GlpM	336	86.7177	215	120.412
yeeJ|G7064|b1978|inverse	7077	6797.06	845	6.03775
yigB|EG11202|b3812|5-amino-6-(5-phospho-D-ribitylamino)uracil	717	437.368	385	42.7517
yeeW|G7086|b2006|CP4-44	195	22.3908	93	201.722
sfsA|EG10949|b0146|sugar	705	425.368	697	79.5806
sgcR|G7913|b4300|KpLE2	783	503.274	1	0.0965018
wzzE|EG11295|b3785|enterobacterial	1047	767.057	1348	85.3496
ribC|EG11406|b1662|riboflavin	642	362.634	769	102.991
yeaQ|G6981|b1795|PF04226	249	37.7496	839	1079.42
prfA|EG10761|b1211|peptide	1083	803.057	1142	69.0652
mtlD|EG10616|b3600|mannitol-1-phosphate	1149	869.057	564	31.5188
nhaA|EG10652|b0019|Na<sup>+</sup>:H<sup>+</sup>	1167	887.057	675	36.9566
ydgK|G6870|b1626|DUF2569	441	170.217	283	80.7463
ribD|EG11321|b0414|fused	1104	824.057	863	50.862
ydfR|G6828|b1555|Qin	312	70.4188	449	309.669
malQ|EG10561|b3416|4-&alpha;-glucanotransferase	2085	1805.06	3586	96.4848
dpiA|G6346|b0620|DNA-binding	681	401.368	154	18.6345
wecF|G7800|b4481|TDP-<i>N</i>-acetylfucosamine:lipid	1080	800.057	679	41.2181
ribB|EG10465|b3041|3,4-dihydroxy-2-butanone-4-phosphate	654	374.487	1979	256.655
smrA|G6672|b1340|DNA	564	285.532	295	50.1772
infB|EG10505|b3168|translation	2673	2393.06	16385	332.532
hofO|G7737|b3393|DNA	441	170.217	57	16.2634
ynaI|G6666|b1330|small	1032	752.057	395	25.5086
efeO|G6527|b1018|ferrous	1128	848.057	3673	210.347
dxs|G6237|b0420|1-deoxy-D-xylulose-5-phosphate	1863	1583.06	2430	74.5503
ynaA|G6691|b1368|Rac	1029	749.057	588.628	38.165
eutD|G7288|b2458|phosphate	1017	737.057	221	14.5623
acrR|EG12116|b0464|DNA-binding	648	368.561	558	73.53
pdxH|EG11487|b1638|pyridoxine/pyridoxamine	657	377.487	631	81.1835
ybiV|G6425|b0822|sugar	816	536.171	429	38.8592
yheS|EG12903|b3352|putative	1914	1634.06	1203	35.7551
hofQ|EG12113|b3391|DNA	1239	959.057	393	19.9016
ybhI|G6400|b0770|putative	1434	1154.06	417	17.5488
fdrA|G6287|b0518|putative	1668	1388.06	379	13.2609
pdxA|EG10691|b0052|4-hydroxythreonine-4-phosphate	990	710.057	1127	77.085
ymfR|G6594|b1150|e14	183	19.464	0	0
deoD|EG10222|b4384|purine	720	440.368	595	65.6207
relB|EG10836|b1564|Qin	240	33.7222	0	0
nudL|EG12693|b1813|putative	579	300.357	168	27.1651
yafV|G6103|b0219|2-oxoglutaramate	771	491.324	393	38.8476
fusA|EG10360|b3340|elongation	2115	1835.06	24327	643.841
yhhX|G7757|b3440|putative	1038	758.057	532	34.0839
ppiD|G6242|b0441|periplasmic	1872	1592.06	7500	228.793
narS|G0-17088|b4813|putative	184	19.6957	7	17.261
pdxJ|EG10693|b2564|pyridoxine	732	452.324	646	69.3622
ybcV|G6313|b0558|DLP12	411	143.45	39	13.2039
hofN|G7738|b3394|DNA	540	262.136	99	18.3421
arcA|EG10061|b4401|DNA-binding	717	437.368	1408	156.349
pdxB|G0-9461|b2320|erythronate-4-phosphate	1137	857.057	1065	60.3503
ytiD|G0-16687|b4721|protein	144	12.7945	0	0
rbbA|EG12223|b3486|ribosome-associated	2736	2456.06	748	14.7912
agaS|G7634|b3136|putative	1155	875.057	359	19.925
kefB|EG20110|b3350|K<sup>+</sup>	1806	1526.06	1040	33.098
yrbN|G0-10651|b4685|uncharacterized	81	82	152	90.0263
pdxI|EG11309|b1406|pyridoxal	861	581.116	271	22.6488
yagM|G6150|b0279|CP4-6	855	575.116	0	0
rlmJ|EG12234|b3499|23S	843	563.116	526	45.3657
ada|EG10029|b2213|DNA-binding	1065	785.057	321	19.8584
epd|EG10368|b2927|D-erythrose-4-phosphate	1020	740.057	1132	74.2884
yajI|EG12874|b0412|putative	540	262.136	241	44.6509
tsf|EG11033|b0170|protein	852	572.116	5644	479.118
rhaM|EG11865|b3901|L-rhamnose	315	72.3225	71	47.6787
cyuP|EG12754|b3110|cysteine	1332	1052.06	330	15.234
yjjJ|EG12342|b4385|toxin	1332	1052.06	418	19.2964
panZ|EG12211|b3459|acetyl-CoA-bound	384	122.814	124	49.0357
yafZ|G6127|b0252|CP4-6	822	542.171	1	0.0895785
ulaG|G7855|b4192|L-ascorbate-6-phosphate	1065	785.057	291	18.0024
tyrR|EG11042|b1323|DNA-binding	1542	1262.06	912	35.0958
csgB|G6547|b1041|curlin,	456	183.494	118	31.2321
yajO|G6236|b0419|1-deoxyxylulose-5-phosphate	975	695.057	621	43.3921
qseG|EG12139|b2555|outer	714	434.368	326	36.4501
rsfS|EG11255|b0637|ribosomal	318	74.269	546	357.046
hofM|G7739|b3395|DNA	780	500.274	224	21.746
yjhF|EG12548|b4296|KpLE2	1350	1070.06	1	0.0453871
pdeC|EG11938|b4061|c-di-GMP	1587	1307.06	451	16.758
mrp|EG10611|b2113|P-loop	1110	830.057	1799	105.26
nohD|EG11635|b0560|DLP12	546	268.003	6.98928	1.26658
hofP|G7736|b3392|DNA	405	138.546	81	28.3943
envY|EG10268|b0566|DNA-binding	762	482.324	0	0
fimH|EG10315|b4320|type	903	623.057	433	33.752
iscU|G7324|b2529|scaffold	387	125.099	1204	467.426
ybfF|EG11776|b0686|esterase	765	485.324	418	41.8297
prfB|EG10762|b2891|peptide	1099	819.057	3117	184.826
ydgJ|G6868|b1624|putative	1041	761.057	848	54.1151
gntT|EG12380|b3415|high-affinity	1317	1037.06	515	24.1182
hcxB|EG11581|b0801|hydroxycarboxylate	1086	806.057	1099	66.2173
mobB|EG11828|b3856|molybdopterin-guanine	528	250.675	233	45.1425
yfjM|G7364|b2629|CP4-57	264	43.9628	0	0
yohF|EG12019|b2137|putative	762	482.324	198	19.9373
rutR|EG12301|b1013|DNA-binding	639	359.707	246	33.2144
yaiP|G6215|b0363|putative	1197	917.057	610.653	32.3398
yjfM|G7850|b4185|DUF1190	639	359.707	159	21.4678
infC|EG10506|b1718|translation	543	265.03	21744	3984.6
yhgH|G7747|b3413|DNA	684	404.368	264	31.7078
rhtA|EG12134|b0813|L-threonine/L-homoserine	888	608.057	420	33.5463
yhiD|EG11400|b3508|inner	648	368.561	215	28.3315
yfdS|G7231|b2362|CPS-53	363	106.836	201	91.373
hdfR|EG11449|b4480|DNA-binding	840	560.116	615	53.3257
glgA|EG10377|b3429|glycogen	1434	1154.06	1434	60.3478
yhfW|G7732|b3380|putative	1227	947.057	403	20.6666
ybeY|G6362|b0659|endoribonuclease	468	194.369	387	96.6993
yfcQ|G7205|b2334|putative	489	213.538	0	0
yidA|EG11195|b3697|sugar	813	533.171	792	72.1437
yeeT|G7083|b2003|CP4-44	222	27.9004	338	588.364
cspA|EG10166|b3556|cold	213	25.5234	18431	35071.1
mlc|G6852|b1594|DNA-binding	1221	941.057	783	40.4097
yqjG|G7616|b3102|glutathionyl-hydroquinone	987	707.057	317	21.7743
yciH|EG11128|b1282|putative	327	80.445	125	75.4659
yadK|EG12325|b0136|putative	597	318.141	74	11.2967
yciF|EG11126|b1258|DUF892	501	224.832	80	17.2811
cspI|G6825|b1552|Qin	213	25.5234	1	1.90283
fur|EG10359|b0683|DNA-binding	447	175.643	1160	320.751
glgS|EG11381|b3049|surface	201	23.5929	160	329.365
ygfM|G7499|b2880|putative	780	500.274	172	16.6978
arfA|G0-10465|b4550|alternative	219	27.0651	161	288.905
ygeX|G7490|b2871|2,3-diaminopropionate	1197	917.057	306	16.2056
ydeR|G6793|b1503|putative	504	227.718	184	39.2428
hemX|EG10433|b3803|PF04375	1182	902.057	1565	84.2597
ydaW|G6685|b1361|Rac	561	282.561	356	61.1897
solA|G6556|b1059|<i>N</i>-methyl-L-tryptophan	1119	839.057	757	43.8171
dnaA|EG10235|b3702|chromosomal	1404	1124.06	1893	81.7903
glgB|EG10378|b3432|1,4-&alpha;-glucan	2187	1907.06	1746	44.4652
ygaM|G7400|b2672|DUF883	330	82.4119	434	255.764
ettA|EG12343|b4391|energy-dependent	1668	1388.06	2163	75.6813
pptA|EG11761|b1461|tautomerase	234	31.3647	0	0
yehD|EG11990|b2111|putative	543	265.03	150	27.4876
