strain,name,accession_number,common_name,product,b_number,cog_letter,cog_class,cog_desc
REL606,ECB_00514,ECB_00514,ECB_00514,GCQD-700-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-701,ECB_00515,ECB_00515,GCQD-701-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00515,ECB_00515,ECB_00515,GCQD-701-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-702,ECB_00516,ECB_00516,GCQD-702-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00516,ECB_00516,ECB_00516,GCQD-702-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-703,ECB_00517,ECB_00517,GCQD-703-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00517,ECB_00517,ECB_00517,GCQD-703-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-710,ECB_00524,ECB_00524,GCQD-710-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00524,ECB_00524,ECB_00524,GCQD-710-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-712,ECB_00526,ECB_00526,GCQD-712-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00526,ECB_00526,ECB_00526,GCQD-712-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-713,ECB_00527,ECB_00527,GCQD-713-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00527,ECB_00527,ECB_00527,GCQD-713-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-714,ECB_00528,ECB_00528,GCQD-714-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00528,ECB_00528,ECB_00528,GCQD-714-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-715,ECB_00529,ECB_00529,GCQD-715-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00529,ECB_00529,ECB_00529,GCQD-715-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-716,ECB_00530,ECB_00530,GCQD-716-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00530,ECB_00530,ECB_00530,GCQD-716-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-808,ECB_00624,ECB_00624,GCQD-808-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00624,ECB_00624,ECB_00624,GCQD-808-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-853,ECB_00662,ECB_00662,GCQD-853-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00662,ECB_00662,ECB_00662,GCQD-853-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-854,ECB_00663,ECB_00663,GCQD-854-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00663,ECB_00663,ECB_00663,GCQD-854-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-855,ECB_00664,ECB_00664,GCQD-855-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00664,ECB_00664,ECB_00664,GCQD-855-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-924,ECB_00726,ECB_00726,GCQD-924-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00726,ECB_00726,ECB_00726,GCQD-924-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-925,ECB_00727,ECB_00727,GCQD-925-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00727,ECB_00727,ECB_00727,GCQD-925-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-926,ECB_00728,ECB_00728,GCQD-926-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00728,ECB_00728,ECB_00728,GCQD-926-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-927,ECB_00729,ECB_00729,GCQD-927-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00729,ECB_00729,ECB_00729,GCQD-927-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-928,ECB_00730,ECB_00730,GCQD-928-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00730,ECB_00730,ECB_00730,GCQD-928-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-929,ECB_00731,ECB_00731,GCQD-929-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00731,ECB_00731,ECB_00731,GCQD-929-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-930,ECB_00732,ECB_00732,GCQD-930-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00732,ECB_00732,ECB_00732,GCQD-930-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-931,ECB_00733,ECB_00733,GCQD-931-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00733,ECB_00733,ECB_00733,GCQD-931-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-932,ECB_00734,ECB_00734,GCQD-932-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00734,ECB_00734,ECB_00734,GCQD-932-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-933,ECB_00735,ECB_00735,GCQD-933-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00735,ECB_00735,ECB_00735,GCQD-933-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-934,ECB_00736,ECB_00736,GCQD-934-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00736,ECB_00736,ECB_00736,GCQD-934-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-935,ECB_00737,ECB_00737,GCQD-935-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00737,ECB_00737,ECB_00737,GCQD-935-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-936,ECB_00738,ECB_00738,GCQD-936-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00738,ECB_00738,ECB_00738,GCQD-936-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-937,ECB_00739,ECB_00739,GCQD-937-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00739,ECB_00739,ECB_00739,GCQD-937-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1012,ECB_00814,ECB_00814,GCQD-1012-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00814,ECB_00814,ECB_00814,GCQD-1012-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1013,ECB_00815,ECB_00815,GCQD-1013-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00815,ECB_00815,ECB_00815,GCQD-1013-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1014,ECB_00816,ECB_00816,GCQD-1014-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00816,ECB_00816,ECB_00816,GCQD-1014-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1015,ECB_00817,ECB_00817,GCQD-1015-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00817,ECB_00817,ECB_00817,GCQD-1015-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1016,ECB_00818,ECB_00818,GCQD-1016-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00818,ECB_00818,ECB_00818,GCQD-1016-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1017,ECB_00819,ECB_00819,GCQD-1017-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00819,ECB_00819,ECB_00819,GCQD-1017-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1018,ECB_00820,ECB_00820,GCQD-1018-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00820,ECB_00820,ECB_00820,GCQD-1018-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1019,ECB_00821,ECB_00821,GCQD-1019-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00821,ECB_00821,ECB_00821,GCQD-1019-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1020,ECB_00822,ECB_00822,GCQD-1020-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00822,ECB_00822,ECB_00822,GCQD-1020-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1021,ECB_00823,ECB_00823,GCQD-1021-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00823,ECB_00823,ECB_00823,GCQD-1021-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1022,ECB_00824,ECB_00824,GCQD-1022-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00824,ECB_00824,ECB_00824,GCQD-1022-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1023,ECB_00825,ECB_00825,GCQD-1023-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00825,ECB_00825,ECB_00825,GCQD-1023-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1024,ECB_00826,ECB_00826,GCQD-1024-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00826,ECB_00826,ECB_00826,GCQD-1024-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1025,ECB_00827,ECB_00827,GCQD-1025-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00827,ECB_00827,ECB_00827,GCQD-1025-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1026,ECB_00828,ECB_00828,GCQD-1026-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00828,ECB_00828,ECB_00828,GCQD-1026-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1027,ECB_00829,ECB_00829,GCQD-1027-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00829,ECB_00829,ECB_00829,GCQD-1027-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1028,ECB_00830,ECB_00830,GCQD-1028-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00830,ECB_00830,ECB_00830,GCQD-1028-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1029,ECB_00831,ECB_00831,GCQD-1029-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00831,ECB_00831,ECB_00831,GCQD-1029-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1030,ECB_00832,ECB_00832,GCQD-1030-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00832,ECB_00832,ECB_00832,GCQD-1030-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1031,ECB_00833,ECB_00833,GCQD-1031-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00833,ECB_00833,ECB_00833,GCQD-1031-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1032,ECB_00834,ECB_00834,GCQD-1032-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00834,ECB_00834,ECB_00834,GCQD-1032-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1033,ECB_00835,ECB_00835,GCQD-1033-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00835,ECB_00835,ECB_00835,GCQD-1033-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1034,ECB_00836,ECB_00836,GCQD-1034-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00836,ECB_00836,ECB_00836,GCQD-1034-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1035,ECB_00837,ECB_00837,GCQD-1035-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00837,ECB_00837,ECB_00837,GCQD-1035-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1036,ECB_00838,ECB_00838,GCQD-1036-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00838,ECB_00838,ECB_00838,GCQD-1036-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1037,ECB_00839,ECB_00839,GCQD-1037-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00839,ECB_00839,ECB_00839,GCQD-1037-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1038,ECB_00840,ECB_00840,GCQD-1038-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00840,ECB_00840,ECB_00840,GCQD-1038-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1039,ECB_00841,ECB_00841,GCQD-1039-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00841,ECB_00841,ECB_00841,GCQD-1039-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1040,ECB_00842,ECB_00842,GCQD-1040-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00842,ECB_00842,ECB_00842,GCQD-1040-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1041,ECB_00843,ECB_00843,GCQD-1041-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00843,ECB_00843,ECB_00843,GCQD-1041-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1042,ECB_00844,ECB_00844,GCQD-1042-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00844,ECB_00844,ECB_00844,GCQD-1042-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1043,ECB_00845,ECB_00845,GCQD-1043-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00845,ECB_00845,ECB_00845,GCQD-1043-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1047,ECB_00849,ECB_00849,GCQD-1047-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00849,ECB_00849,ECB_00849,GCQD-1047-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1048,ECB_00850,ECB_00850,GCQD-1048-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00850,ECB_00850,ECB_00850,GCQD-1048-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1049,ECB_00851,ECB_00851,GCQD-1049-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00851,ECB_00851,ECB_00851,GCQD-1049-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1534,ECB_01334,ECB_01334,GCQD-1534-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_01334,ECB_01334,ECB_01334,GCQD-1534-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1535,ECB_01335,ECB_01335,GCQD-1535-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_01335,ECB_01335,ECB_01335,GCQD-1535-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1536,ECB_01336,ECB_01336,GCQD-1536-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_01336,ECB_01336,ECB_01336,GCQD-1536-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1541,ECB_01341,ECB_01341,GCQD-1541-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_01341,ECB_01341,ECB_01341,GCQD-1541-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1542,ECB_01342,ECB_01342,GCQD-1542-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_01342,ECB_01342,ECB_01342,GCQD-1542-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1543,ECB_01343,ECB_01343,GCQD-1543-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_01343,ECB_01343,ECB_01343,GCQD-1543-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1544,ECB_01344,ECB_01344,GCQD-1544-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_01344,ECB_01344,ECB_01344,GCQD-1544-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1582,ECB_01382,ECB_01382,GCQD-1582-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_01382,ECB_01382,ECB_01382,GCQD-1582-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1613,ECB_01413,ECB_01413,GCQD-1613-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_01413,ECB_01413,ECB_01413,GCQD-1613-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1664,ECB_01464,ECB_01464,,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_01464,ECB_01464,ECB_01464,,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1665,ECB_01466,ECB_01466,,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_01466,ECB_01466,ECB_01466,,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1685,ECB_01487,ECB_01487,GCQD-1685-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_01487,ECB_01487,ECB_01487,GCQD-1685-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1686,ECB_01488,ECB_01488,GCQD-1686-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_01488,ECB_01488,ECB_01488,GCQD-1686-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1703,ECB_01505,ECB_01505,GCQD-1703-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_01505,ECB_01505,ECB_01505,GCQD-1703-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1704,ECB_01506,ECB_01506,GCQD-1704-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_01506,ECB_01506,ECB_01506,GCQD-1704-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1705,ECB_01507,ECB_01507,GCQD-1705-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_01507,ECB_01507,ECB_01507,GCQD-1705-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1708,ECB_01510,ECB_01510,GCQD-1708-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_01510,ECB_01510,ECB_01510,GCQD-1708-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-1714,ECB_01516,ECB_01516,GCQD-1714-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_01516,ECB_01516,ECB_01516,GCQD-1714-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
